# NIDA Sample Network Log
# Format: TIMESTAMP SRC_IP DST_IP DST_PORT PROTOCOL STATUS BYTES_SENT

# Attacker 1: port scan + brute force SSH + breach + off-hours + exfil
2024-01-15 02:11:01 172.16.0.55 192.168.1.10 22 TCP REJECTED 0
2024-01-15 02:11:01 172.16.0.55 192.168.1.10 22 TCP REJECTED 0
2024-01-15 02:11:02 172.16.0.55 192.168.1.10 22 TCP REJECTED 0
2024-01-15 02:11:02 172.16.0.55 192.168.1.10 22 TCP REJECTED 0
2024-01-15 02:11:03 172.16.0.55 192.168.1.10 22 TCP REJECTED 0
2024-01-15 02:11:03 172.16.0.55 192.168.1.10 22 TCP REJECTED 0
2024-01-15 02:11:04 172.16.0.55 192.168.1.10 22 TCP ACCEPTED 512
2024-01-15 02:15:00 172.16.0.55 192.168.1.10 21 TCP REJECTED 0
2024-01-15 02:15:01 172.16.0.55 192.168.1.10 23 TCP REJECTED 0
2024-01-15 02:15:02 172.16.0.55 192.168.1.10 80 TCP REJECTED 0
2024-01-15 02:15:03 172.16.0.55 192.168.1.10 443 TCP REJECTED 0
2024-01-15 02:15:04 172.16.0.55 192.168.1.10 3306 TCP REJECTED 0
2024-01-15 02:15:05 172.16.0.55 192.168.1.10 3389 TCP REJECTED 0
2024-01-15 02:15:06 172.16.0.55 192.168.1.10 8080 TCP REJECTED 0
2024-01-15 02:15:07 172.16.0.55 192.168.1.10 8443 TCP REJECTED 0
2024-01-15 02:15:08 172.16.0.55 192.168.1.10 445 TCP REJECTED 0
2024-01-15 02:15:09 172.16.0.55 192.168.1.10 6379 TCP REJECTED 0
2024-01-15 02:15:10 172.16.0.55 192.168.1.10 27017 TCP REJECTED 0
2024-01-15 02:16:00 172.16.0.55 192.168.1.10 22 TCP ACCEPTED 620000

# Attacker 2: RDP brute force + breach + off-hours
2024-01-15 03:00:01 203.0.113.99 192.168.1.50 3389 TCP REJECTED 0
2024-01-15 03:00:03 203.0.113.99 192.168.1.50 3389 TCP REJECTED 0
2024-01-15 03:00:05 203.0.113.99 192.168.1.50 3389 TCP REJECTED 0
2024-01-15 03:00:07 203.0.113.99 192.168.1.50 3389 TCP REJECTED 0
2024-01-15 03:00:09 203.0.113.99 192.168.1.50 3389 TCP REJECTED 0
2024-01-15 03:00:11 203.0.113.99 192.168.1.50 3389 TCP REJECTED 0
2024-01-15 03:00:13 203.0.113.99 192.168.1.50 3389 TCP ACCEPTED 1024

# Attacker 3: broad port scan + off-hours
2024-01-15 01:00:00 198.51.100.7 192.168.1.30 22 TCP REJECTED 0
2024-01-15 01:00:01 198.51.100.7 192.168.1.30 23 TCP REJECTED 0
2024-01-15 01:00:02 198.51.100.7 192.168.1.30 25 TCP REJECTED 0
2024-01-15 01:00:03 198.51.100.7 192.168.1.30 53 TCP REJECTED 0
2024-01-15 01:00:04 198.51.100.7 192.168.1.30 80 TCP REJECTED 0
2024-01-15 01:00:05 198.51.100.7 192.168.1.30 110 TCP REJECTED 0
2024-01-15 01:00:06 198.51.100.7 192.168.1.30 143 TCP REJECTED 0
2024-01-15 01:00:07 198.51.100.7 192.168.1.30 443 TCP REJECTED 0
2024-01-15 01:00:08 198.51.100.7 192.168.1.30 445 TCP REJECTED 0
2024-01-15 01:00:09 198.51.100.7 192.168.1.30 3306 TCP REJECTED 0
2024-01-15 01:00:10 198.51.100.7 192.168.1.30 3389 TCP REJECTED 0
2024-01-15 01:00:11 198.51.100.7 192.168.1.30 5432 TCP REJECTED 0

# Suspicious: DB port probing, daytime
2024-01-15 11:05:00 10.0.5.77 192.168.1.20 3306 TCP REJECTED 0
2024-01-15 11:05:01 10.0.5.77 192.168.1.20 3306 TCP REJECTED 0
2024-01-15 11:05:02 10.0.5.77 192.168.1.20 5432 TCP REJECTED 0
2024-01-15 11:05:03 10.0.5.77 192.168.1.20 5432 TCP REJECTED 0
2024-01-15 11:05:04 10.0.5.77 192.168.1.20 27017 TCP REJECTED 0
2024-01-15 11:05:05 10.0.5.77 192.168.1.20 6379 TCP REJECTED 0

# Benign: normal workstation traffic
2024-01-15 09:01:05 10.0.1.20 192.168.1.1 80 TCP ACCEPTED 2048
2024-01-15 09:15:22 10.0.1.20 192.168.1.1 443 TCP ACCEPTED 4096
2024-01-15 10:30:11 10.0.1.20 192.168.1.1 80 TCP ACCEPTED 1024
2024-01-15 14:12:44 10.0.1.20 192.168.1.1 443 TCP ACCEPTED 8192
